number,hash,difficulty
0x50,0x16b4c82e2152c9812025b99424651367b3eec85768a693d66050cc7ff1ebae61,0x421870475
0x51,0xcb56dc3a0b74cc674fa1ebc1bf12d0772b8de71aac77156c600342140433418d,0x4220b3555
0x52,0x8614615efab2d25eff18b1a339dd55c6aba83debffdaa07fae0901564e3f3d8c,0x4228f76bb
0x53,0xa3ee1b6def05ceab6c35880a665164880d60637de471eda6a5aedf741b46eba3,0x42313c8a9
0x54,0xe344c556c9e888256e43a67c3ba3b73f444e61e720b1ca0631674c1f89960647,0x423982b22
0x55,0x7c9ccd0c0b7d9008836c181c24564a3fbfa6281a7e2a92f5b5d6e040a33be7ca,0x4241c9e27
0x56,0x5dfecd1f7883c8ec60ddecd4301f217290197de78002b4204d54d8b2a022f826,0x424a121ba
0x57,0xa608cee22cf6d8d83ce76592d9eaffb73e566c6382ae21654448da0f7ad1768b,0x42525b5de
0x58,0xba39b4ee19e5db0f5a85c344aa2bd2e7b0cdb2404b7d5c0e6cdc08c83f85083e,0x425aa5a94
0x59,0x6da5970538eba5db93162e219182fca7e093cfe4fbd8dd0b82789adb25dcbb42,0x4262f0fdf
0x5a,0x69d2798993659c0d864d6f2824440b091368c147efc6c33410ef181036fc2bf1,0x426b3d5c0
0x5b,0xd691ed6cf02375620d9cca9052bcf38a4a23f5c77058581c8bb54a06e2eb6ed9,0x42738ac3a
0x5c,0xc86dcbd8ba3cd836bd9c00d9dababe81ed5a42310ade70a77700d42b5ff8b64c,0x427bd934f
0x5d,0xfd07e36cfaf327801e5696134b36678f6a89fb1e8f017f2411a29d0ae810ab8b,0x428428b01
0x5e,0x665586bdd5aefc860f8ff2d186617544d5aa6e5ae7203bf54b26f310be372e91,0x428c79352
0x5f,0xc0f772db658b2279a736f232e75d98629a53d36086e34a18f9fe65a4650d50a7,0x4294cac44
0x60,0x350565a8da416084af658287442eef4f651bf944c6d804b5c3bdee5d7d951f80,0x429d1d5d9
0x61,0xe9fb121a7ee5cb03b33adbf59e95321a2453f09db98068e1f31f0da79860c50c,0x42a571013
0x62,0x269e71c78052d535b37fd588acb914c171e3376a5b56e4aa1d9c9c588e6403d7,0x42adc5af5
0x63,0xdb10afd3efa45327eb284c83cc925bd9bd7966aea53067c1eebe0724d124ec1e,0x42b61b680
0x64,0xdfe2e70d6c116a541101cecbb256d7402d62125f6ddc9b607d49edc989825c64,0x42be722b6
0x65,0x4f66fd0241681ebbc119f97e952c1036b87b6e8f64f5c5d84c5c7a9bb1ebfdcc,0x42c6c9f9a
0x66,0x16110f3aa1895de2ec22cfd746751f724d112a953c71b62858a1523b50f3dc64,0x42cf22d2d
0x67,0x39bef3da2cd14e02781b576050dc426606149bff937a4af43e65417e6e98c713,0x42d77cb72
0x68,0x7faae5e905007d146c15b22dcb736935cb344f88be0d35fe656701e84d52398e,0x42dfd7a6b
0x69,0x07efc5598ed7e5e6e707eb087110f2dfb2772d6355508b75f4696d96d0f747ec,0x42e833a1a
0x6a,0xdbf00c7d903316b2d5a46dbfcf29317a3102ccf8ed2b75082ceffd034ee098ec,0x42f090a81
0x6b,0x5663a82065ceae2d77d4788247bffaa2e907ad3b746234b8ed6f126015072488,0x42f8eeba2
0x6c,0x23fc7f3d17b2585e98727923d15479db13d7cf113b2f1bb523880c5f9ff2cda4,0x43014dd7f
0x6d,0xcaca9ce6b4354463024282762c3764b85d02b2b680e337a0a30d5cdc6e0d45e2,0x4309ae01a
0x6e,0xa2c69435f70572b88ee8200ddc2d27df5605decd7a1643412ef221c37b69cef6,0x43120f376
0x6f,0x3f855488d17da75be0871397887c9aee82b62293e06f59402f015afd1e22294d,0x431a71794
0x70,0x33f2eca832ccb6bbc015deb85f2d0251569a3b0753c82afda1e248c4bd4fe07e,0x4322d4c76
0x71,0x08629cbe309ca5bda66a31b80dc69996418f70447b7c3d37af44281a859af45f,0x432b3921f
0x72,0x48e387aeeae5c5581ca2acb2fc7ce81e7127e44dba0825803e392f25364f77b9,0x43339e891
0x73,0x1e16f8fcf253043b97e14672e1e092d2e25ee6c801b485cd2796dd04cdff6a86,0x433c04fce
0x74,0xfd28ab955f2f0938e99124779e1366cfab939540bc45345812f93981507129e7,0x43446c7d7
0x75,0xbf441b7cf961141b9df43a2abb4519a7a48ffad71bb88be275e9f8370dc27250,0x434cd50af
0x76,0x11ebb566c1f088c220795856f6ab833a4f88b30cd1a30033c053d9c009654358,0x43553ea59
0x77,0x419ff6b4cd3826782104cbfb70480d20de8b39073ae004471265a5d5927b0ed8,0x435da94d6
0x78,0xc78519d0cde92e421d2f8e304b31669fe0cec0a96490c2e208030ae9d35c9835,0x436615028
0x79,0xd40e1c39447844533017c427bf9bff8a9dbb680197b2f3738d734edc41ed480e,0x436e81c52
0x7a,0x701bc7632e80976d1a2c408ffa58e4f11aa3ed3c5a030d1125930a9d944e4343,0x4376ef955
0x7b,0x37cb73b97d28b4c6530c925d669e4b0e07f16e4ff41f45d10d44f4c166d650e5,0x437f5e734
0x7c,0x57b6c499b06c497350c9f96e8a46ee0503a3888a8ee297f612d1d9dfb0eb376f,0x4387ce5f0
0x7d,0xd93f8129b3ed958dff542e717851243b53f2047d49147ea445af02c5e16062e7,0x43903f58c
0x7e,0x6a27d325aa1f3a1639cb72b704cf80f25470139efaaf5d48ea6e318269a28f8a,0x4398b160a
0x7f,0x707cf006b7104968ecc908942c03ffca5b134a2bdaee1c1e83a2a3a3aa8591ed,0x43a12476c
0x80,0x53d65652581a5ff5efec0c60d5bbbc438ff2b9adc0a6466e677f0d44fc7c05d4,0x43a9989b4
0x81,0x5656b852baa80ce4db00c60998f5cf6e7a8d76f0339d3cf97955d933f731fecf,0x43b20dce5
0x82,0x2807e7d5796039fa4040c5db859dc599b7ac73de38978af8ee01667fb04ec5c0,0x43ba84100
0x83,0x12ef0c55f6a6adcd43b65fdf0c356927b82ef30fb8a72eddad012b726e2824b6,0x43c2fb608
0x84,0x1567c9c59d144c48d9a981fc70f72ba84ebf557622c1f82551849c77bd637bb7,0x43cb73bfe
0x85,0xe145c98b48cfd0728b82b49502b1012171a1ab0c7e73d2ffb445cb5c86b41a6e,0x43d3ed2e5
0x86,0xa19e4145b8bed789e0348f9daec19f0b49575a59f2bea386b3f6a4bb65d196e8,0x43dc67abf
0x87,0x412d2ae8ea3909c353ec147b907f469acb6ed3203a2f3cbad2a4c2172f3da41f,0x43e4e338e
0x88,0xa4eaa63c27d928bac3e0eb7c94e58f9328144e54909b3a866cafa3cbebaa2850,0x43ed5fd54
0x89,0x6f9af3d706374ec5db45e86d1520612af9850663afd9c89b086513e71f8b9d69,0x43f5dd813
0x8a,0x2253b8f79c23b6ff67cb2ef6fabd9ec59e1edf2d07c16d98a19378041f96624d,0x43fe5c3ce
0x8b,0x41d2931a4495deabbf9f58181a48d29c89036c8fb8b9ecedb5f23805cc6f5e34,0x4406dc086
0x8c,0xe2c1e8200ef2e9fba09979f0b504dc52c068719623c7064904c7bd3e9365acc1,0x440f5ce3e
