block_number,proof_size,blocks_queried,L
4520101,602,642,100
4530101,586,641,100
4540101,593,640,100
4550101,594,641,100
4560101,594,643,100
4570101,604,645,100
4580101,601,647,100
4590101,600,640,100
4600101,600,644,100
4610101,592,641,100
4620101,597,639,100
4630101,599,641,100
4640101,599,645,100
4650101,594,644,100
4660101,600,643,100
4670101,595,645,100
4680101,608,651,100
4690101,610,649,100
4700101,598,646,100
4710101,605,649,100
4720101,604,648,100
4730101,606,645,100
4740101,592,639,100
4750101,600,642,100
4760101,602,643,100
4770101,601,643,100
4780101,605,644,100
4790101,604,642,100
4800101,599,641,100
4810101,595,640,100
4820101,598,641,100
4830101,600,642,100
4840101,599,640,100
4850101,596,644,100
4860101,597,642,100
4870101,610,643,100
4880101,604,641,100
4890101,603,639,100
4900101,598,638,100
4910101,600,636,100
4920101,606,638,100
4930101,604,636,100
4940101,596,637,100
4950101,591,634,100
4960101,591,635,100
4970101,592,632,100
4980101,595,634,100
4990101,587,631,100
5000101,577,634,100
5010101,591,632,100
5020101,591,630,100
5030101,588,630,100
5040101,585,631,100
5050101,587,630,100
5060101,588,631,100
5070101,580,628,100
5080101,587,630,100
5090101,595,632,100
5100101,598,631,100
5110101,595,631,100
5120101,593,633,100
5130101,592,637,100
5140101,589,635,100
5150101,598,634,100
5160101,591,636,100
5170101,592,634,100
5180101,587,636,100
5190101,585,633,100
5200101,599,635,100
5210101,591,637,100
5220101,600,635,100
5230101,600,638,100
5240101,590,637,100
5250101,599,640,100
5260101,603,640,100
5270101,605,638,100
5280101,581,638,100
5290101,607,642,100
5300101,593,642,100
5310101,611,643,100
5320101,603,645,100
5330101,602,643,100
5340101,602,644,100
5350101,610,644,100
5360101,597,646,100
5370101,610,647,100
5380101,604,647,100
5390101,608,647,100
5400101,615,649,100
5410101,614,653,100
5420101,609,652,100
5430101,611,656,100
5440101,615,653,100
5450101,614,656,100
5460101,611,654,100
5470101,619,656,100
5480101,602,657,100
5490101,625,655,100
5500101,620,657,100
5510101,619,655,100
5520101,616,657,100
5530101,619,657,100
5540101,615,660,100
5550101,623,660,100
5560101,620,656,100
5570101,617,657,100
5580101,620,658,100
5590101,612,660,100
5600101,612,656,100
5610101,623,659,100
5620101,626,662,100
5630101,622,662,100
5640101,621,662,100
5650101,623,662,100
5660101,624,664,100
5670101,624,667,100
5680101,624,665,100
5690101,634,667,100
5700101,627,667,100
5710101,620,667,100
5720101,630,669,100
5730101,632,672,100
5740101,621,669,100
5750101,640,671,100
5760101,619,667,100
5770101,633,672,100
5780101,634,670,100
5790101,633,671,100
5800101,636,669,100
5810101,629,670,100
5820101,632,668,100
5830101,640,669,100
5840101,630,670,100
5850101,627,671,100
5860101,639,671,100
5870101,632,672,100
5880101,635,669,100
5890101,640,675,100
5900101,635,672,100
5910101,636,670,100
5920101,627,672,100
5930101,650,673,100
5940101,632,674,100
5950101,645,675,100
5960101,644,677,100
5970101,629,676,100
5980101,639,677,100
5990101,649,677,100
6000101,631,677,100
6010101,643,681,100
6020101,632,679,100
6030101,640,677,100
6040101,639,678,100
6050101,638,678,100
6060101,649,679,100
6070101,643,679,100
6080101,646,680,100
6090101,643,680,100
6100101,645,679,100
6110101,641,680,100
6120101,641,680,100
6130101,643,681,100
6140101,637,683,100
6150101,635,682,100
6160101,647,685,100
6170101,656,686,100
6180101,653,683,100
6190101,641,683,100
6200101,651,688,100
6210101,649,684,100
6220101,649,686,100
6230101,651,687,100
6240101,650,688,100
6250101,650,687,100
6260101,646,690,100
6270101,655,690,100
6280101,651,690,100
6290101,662,692,100
6300101,652,695,100
6310101,651,695,100
6320101,656,699,100
6330101,664,697,100
6340101,658,700,100
6350101,665,698,100
6360101,668,699,100
6370101,655,701,100
6380101,662,697,100
6390101,661,698,100
6400101,654,699,100
6410101,667,699,100
6420101,656,699,100
6430101,666,698,100
6440101,662,699,100
6450101,669,701,100
6460101,676,701,100
6470101,661,701,100
6480101,663,698,100
6490101,667,701,100
6500101,671,701,100
6510101,670,702,100
6520101,669,704,100
6530101,673,704,100
6540101,670,704,100
6550101,674,707,100
6560101,668,705,100
6570101,664,708,100
6580101,679,709,100
6590101,677,707,100
6600101,673,708,100
6610101,676,708,100
6620101,681,708,100
6630101,677,712,100
6640101,677,710,100
6650101,675,712,100
6660101,681,714,100
6670101,681,713,100
6680101,671,711,100
6690101,685,715,100
6700101,683,712,100
6710101,674,711,100
6720101,678,715,100
6730101,682,713,100
6740101,680,716,100
6750101,687,723,100
6760101,683,720,100
6770101,687,725,100
6780101,686,725,100
6790101,694,732,100
6800101,701,732,100
6810101,696,731,100
6820101,693,733,100
6830101,704,733,100
6840101,701,734,100
6850101,700,737,100
6860101,711,736,100
6870101,705,738,100
6880101,710,740,100
6890101,720,741,100
6900101,704,740,100
6910101,699,743,100
6920101,713,741,100
6930101,706,738,100
6940101,702,738,100
6950101,703,733,100
6960101,690,734,100
6970101,707,736,100
6980101,707,736,100
